Longitude,Latitude,Address,City,Category,ClassificationOfCategories,Area
77.154585,28.554601,"Munirka, New Delhi, Delhi, India",South West Delhi,Touching /Groping,Physical Abuse,Munirka
77.1549874,28.5548885,"Olof Palme Marg, DDA Flats, Munirka, New Delhi, Delhi 110067, India",South West Delhi,Commenting,Verbal Abuse,Munirka
77.155062,28.554952,"Deer Park, Hauz Khas, New Delhi, Delhi, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Hauz Khas
77.155272,28.554952,"Deer Park, Hauz Khas, New Delhi, Delhi, India",South West Delhi,Taking pictures without permission,Non-Verbal Abuse,Hauz Khas
77.155929,28.554952,"Deer Park, Hauz Khas, New Delhi, Delhi, India",South West Delhi,Touching /Groping,Physical Abuse,Hauz Khas
77.1560658,28.5549767,"Siri Fort Rd, Siri Fort Institutional Area, Siri Fort, New Delhi, Delhi 110049, India",South Delhi,Commenting,Verbal Abuse,Siri Fort
77.1562196,28.5549767,"Siri Fort Rd, Siri Fort Institutional Area, Siri Fort, New Delhi, Delhi 110049, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Siri Fort
77.156425,28.555345,Sector 3 Ayurvigyan Nagar New Delhi Delhi 110049 India,South Delhi,Indecent Exposure/Masturbation in public,Non-Verbal Abuse,Ayurvigyan Nagar
77.156559,28.555533,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Greater Kailash
77.157144,28.555533,"N Block, Greater Kailash I, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Greater Kailash
77.157661,28.555662,Olof Palme Marg DDA Flats Munirka New Delhi Delhi 110067 India,South West Delhi,Commenting,Verbal Abuse,Munirka
77.158093,28.555814,"Kamala Nehru College, Siri Fort Road, Siri Fort Institutional Area, Siri Fort, New Delhi, Delhi 110049, India",South Delhi,Others,Others,Siri Fort
77.158244,28.5560208,"Sector 3, Ayurvigyan Nagar, New Delhi, Delhi 110049, India",South Delhi,Indecent exposure,Non-Verbal Abuse,Ayurvigyan Nagar
77.158395,28.5561498,"Noor Nagar, Okhla, New Delhi, Delhi 110025, India",South Delhi,Chain Snatching,Physical Abuse,Okhla
77.158582,28.5561624,*,South West Delhi,Commenting,Verbal Abuse,IGI Airport
77.1587375,28.556841,"N Block, Greater Kailash, New Delhi, Delhi 110048, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Greater Kailash
77.158738,28.5570462,"Garhi, New Delhi, Delhi 110048, India",South West Delhi,Others,Others,Garhi
77.158926,28.557115,"Zamrudpur, New Delhi, Delhi 110048, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Zamrudpur
77.160329,28.5572354,*,South West Delhi,Catcalls/Whistles,Verbal Abuse,Dwarka
77.1603796,28.5572487,"Palam Marg, Munirka, New Delhi, Delhi 110067, India",South West Delhi,Stalking,Verbal Abuse,Munirka
77.160886,28.557249,*,South West Delhi,Touching /Groping,Physical Abuse,Munirka
77.161604,28.557296,"305, Palam Marg, Munirka, Asola, New Delhi, Delhi 110067, India",South West Delhi,Touching /Groping,Physical Abuse,Munirka
77.161622,28.55739,"Vasant Vihar, New Delhi, Delhi, India",Central Delhi,Catcalls/Whistles,Verbal Abuse,Karol Bagh
77.161681,28.55739,"Vasant Vihar, New Delhi, Delhi, India",Central Delhi,Commenting,Verbal Abuse,Karol Bagh
77.161728,28.55739,"Vasant Vihar, New Delhi, Delhi, India",Central Delhi,Sexual Invites,Verbal Abuse,Karol Bagh
77.162073,28.55739,"Vasant Vihar, New Delhi, Delhi, India",Central Delhi,Touching /Groping,Physical Abuse,Karol Bagh
77.1621769,28.5575674,"Basant Lok, Vasant Vihar, New Delhi, Delhi, India",South West Delhi,Indecent exposure,Non-Verbal Abuse,Vasant Vihar
77.162177,28.557621,"Green Park, New Delhi, Delhi 110016, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Green Park
77.1625078,28.557621,"Green Park, New Delhi, Delhi 110016, India",South West Delhi,Commenting,Verbal Abuse,Green Park
77.162647,28.557621,"Green Park, New Delhi, Delhi 110016, India",South West Delhi,Touching /Groping,Physical Abuse,Green Park
77.162655,28.557714,Block Y Green Park Extension Green Park New Delhi Delhi 110016 India,South Delhi,Catcalls/Whistles,Verbal Abuse,South Extension
77.162662,28.5578005,Ranjit Vihar-I Sector 22 Dwarka New Delhi Delhi 110077 India,South West Delhi,Petty Robbery,Physical Abuse,Dwarka
77.162671,28.5578005,"Ranjit Vihar-I, Sector 22, Dwarka, New Delhi, Delhi 110077, India",South West Delhi,Chain Snatching,Physical Abuse,Dwarka
77.162781,28.5578563,"Mujeeb Bagh, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",South Delhi,Chain Snatching,Physical Abuse,Okhla
77.162825,28.5578563,"Mujeeb Bagh, Jamia Nagar, Okhla, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.16284,28.5579537,"S- 15, Sri Aurobindo Marg, Block A, Green Park, New Delhi, Delhi 110016, India",South West Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Green Park
77.1628404,28.5579537,"S- 15, Sri Aurobindo Marg, Block A, Green Park, New Delhi, Delhi 110016, India",South West Delhi,Touching /Groping,Physical Abuse,Green Park
77.1631537,28.558144,M cinema east of kailash delhi,South Delhi,Others,Others,East of Kailash
77.163232,28.5581914,"Block Y, Green Park Extension, Green Park, New Delhi, Delhi 110016, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Green Park
77.163756,28.5585807,Munrika bus stand,South West Delhi,Chain Snatching,Physical Abuse,Munirka
77.16379,28.55868,"Yusuf Sarai, New Delhi, Delhi 110016, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Yusuf Sarai
77.163828,28.558813,"Thokar Number 3, Part 1 Abul Fazal Enclave, Abul Fazal Enclave, Part-1 Block D, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",South Delhi,Touching /Groping,Physical Abuse,Jamia Nagar
77.1638282,28.55922,"August Kranti Marg, Uday Park, South Extension II, Uday Park, South Extension II, New Delhi, Delhi 110049, India",South Delhi,Stalking,Verbal Abuse,South Extension
77.164334,28.5592308,"M cinema, east of kailash, delhi",South Delhi,Others,Others,East of Kailash
77.164592,28.559588,Basant Lok Vasant Vihar New Delhi Delhi India,Central Delhi,Indecent Exposure/Masturbation in public,Non-Verbal Abuse,Karol Bagh
77.164603,28.559742,"Lady Shri Ram College, Lady Shri Ram College for Women, Part-IV, Lala Lajpat Rai Path, Amar Colony, Lajpat Nagar 4, New Delhi, Delhi 110024, India",South Delhi,Sexual Invites,Verbal Abuse,Lajpat Nagar
77.16462,28.5599809,"Okhla, Ishwar Nagar, Bahapur, New Delhi, Delhi 110048, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.164759,28.5600653,"Sarai Jullena, New Friends Colony, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,New Friends Colony
77.16507,28.5600653,"Sarai Jullena, New Friends Colony, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,New Friends Colony
77.165844,28.560323,F 2/4 Block F Vasant Vihar New Delhi Delhi 110057 India,Central Delhi,Catcalls/Whistles,Verbal Abuse,Karol Bagh
77.166118,28.560323,"F 2/4, Block F, Vasant Vihar, New Delhi, Delhi 110057, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Vasant Vihar
77.166341,28.560323,"Vasant Vihar, New Delhi, Delhi, India",Central Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Karol Bagh
77.16649,28.5606592,*,South West Delhi,Catcalls/Whistles,Verbal Abuse,Shahabad Mohammadpur
77.1664905,28.5606592,*,South West Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Shahabad Mohammadpur
77.1665548,28.5606592,Sector 21 Shahabad Mohammadpur New Delhi Delhi India,South West Delhi,Poor / No Street Lighting,Others,Shahabad Mohammadpur
77.166631,28.5606592,"Sector 21, Shahabad Mohammadpur, New Delhi, Delhi, India",South West Delhi,Taking pictures without permission,Non-Verbal Abuse,Shahabad Mohammadpur
77.1666313,28.5606592,"Sector 21, Shahabad Mohammadpur, New Delhi, Delhi, India",South West Delhi,Touching /Groping,Physical Abuse,Shahabad Mohammadpur
77.16676,28.560831,"Jamia, Maulana Mohammad Ali Jauhar Marg, Jamia Millia Islamia, Ghaffar Manzil Colony, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.167209,28.560831,"Jamia, Maulana Mohammad Ali Jauhar Marg, Jamia Millia Islamia, Ghaffar Manzil Colony, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Okhla
77.1672094,28.560858,"156, Maulana Mohammad Ali Jauhar Marg, Sarai Jullena, Okhla, New Delhi, Delhi 110065, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.1680265,28.560858,"156, Maulana Mohammad Ali Jauhar Marg, Sarai Jullena, Okhla, New Delhi, Delhi 110065, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.1680505,28.560858,"156, Maulana Mohammad Ali Jauhar Marg, Sarai Jullena, Okhla, New Delhi, Delhi 110065, India",South Delhi,Touching /Groping,Physical Abuse,Okhla
77.168146,28.560905,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Lajpat Nagar
77.168433,28.560905,"National Park, Lajpat Nagar 4, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.168604,28.561164,"Munda Gumbad Tomb, Sector 4, R.K. Puram, New Delhi, Delhi 110022, India",South West Delhi,Taking pictures without permission,Non-Verbal Abuse,RK Puram
77.168647,28.561732,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Lajpat Nagar
77.168835,28.561846,"Masjid Moth Village, South Extension II, New Delhi, Delhi 110049, India",South Delhi,Catcalls/Whistles,Verbal Abuse,South Extension
77.16888,28.561858,"R K Puram Sector 4, Sector 4, RK Puram, New Delhi, Delhi 110022, India",South West Delhi,Indecent exposure,Non-Verbal Abuse,RK Puram
77.1690067,28.5620257,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.169007,28.5620257,"Jamia College, Maulana Mohammad Ali Jauhar Marg, Jamia Millia Islamia, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.169096,28.562097,"Gautam Nagar, New Delhi, Delhi, India",South Delhi,Others,Others,Gautam Nagar
77.169288,28.562097,Hardev Puri Gautam Nagar New Delhi Delhi 110049 India,South Delhi,Poor / No Street Lighting,Others,Gautam Nagar
77.169356,28.5622296,"274A, Okhla Road, New Friends Colony East, Okhla, New Delhi, Delhi 110025, India",South Delhi,Catcalls/Whistles,Verbal Abuse,New Friends Colony
77.169429,28.5622296,"274A, Okhla Road, New Friends Colony East, Okhla, New Delhi, Delhi 110025, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.169674,28.5622296,"274A, Okhla Road, New Friends Colony East, Okhla, New Delhi, Delhi 110025, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.170044,28.5622296,"274A, Okhla Road, New Friends Colony East, Okhla, New Delhi, Delhi 110025, India",South Delhi,Sexual Invites,Verbal Abuse,Okhla
77.170212,28.5622296,"274A, Okhla Road, New Friends Colony East, Okhla, New Delhi, Delhi 110025, India",South Delhi,Chain Snatching,Physical Abuse,Okhla
77.170296,28.5623,"Tikona Park, Jamia Nagar, Jasola, New Delhi, Delhi 110025, India",South East Delhi,Catcalls/Whistles,Verbal Abuse,Jasola
77.170314,28.5623,"Tikona Park, Jamia Nagar, Jasola, New Delhi, Delhi 110025, India",South East Delhi,Commenting,Verbal Abuse,Jasola
77.1704444,28.5623,"Tikona Park, Jamia Nagar, Okhla, New Delhi, Delhi 110025, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.170456,28.5623273,"Hardev Puri, Gautam Nagar, New Delhi, Delhi 110049, India",South Delhi,Poor / No Street Lighting,Others,Gautam Nagar
77.171083,28.5623653,"Okhla Head, Okhla Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.171276,28.5623653,"Okhla Head, Okhla Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Touching /Groping,Physical Abuse,Okhla
77.171351,28.562501,"Block B 7, Arjun Nagar, Safdarjung Enclave, New Delhi, Delhi 110016, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Safdarjung Enclave
77.171366,28.5625254,"Police Colony, South Extension II, New Delhi, Delhi 110049, India",South Delhi,Stalking,Verbal Abuse,South Extension
77.172081,28.5625518,*,South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.1721199,28.5625518,*,South Delhi,Touching /Groping,Physical Abuse,Okhla
77.172523,28.5625518,"Okhla, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.172772,28.5625518,"Okhla, New Delhi, Delhi, India",South Delhi,Sexual Invites,Verbal Abuse,Okhla
77.172961,28.5625518,"Okhla, New Delhi, Delhi, India",South Delhi,Chain Snatching,Physical Abuse,Okhla
77.17314,28.56268,"Andrews Ganj, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Andrews Ganj
77.173509,28.56269,"Amar Colony C Block, Block C, Amar Colony, Lajpat Nagar 4, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.1736,28.562726,"Indira Gandhi International Airport (DEL), IGI Airport T3 Road, Mehram Nagar, New Delhi, Delhi, India",Central Delhi,Catcalls/Whistles,Verbal Abuse,Karol Bagh
77.173612,28.563126,"Shiv Nagar, New Delhi, Delhi 110057, India",Central Delhi,Commenting,Verbal Abuse,Karol Bagh
77.1736121,28.563126,"Shiv Nagar, New Delhi, Delhi 110057, India",Central Delhi,Touching /Groping,Physical Abuse,Karol Bagh
77.1736641,28.563138,"AIIMS Campus Temple, Ansari Nagar East, Gautam Nagar, New Delhi, Delhi 110016, India",South West Delhi,Touching /Groping,Physical Abuse,AIIMS
77.1736794,28.563286,Krishna Nagar Safdarjung Enclave New Delhi Delhi 110016 India,South West Delhi,Commenting,Verbal Abuse,Safdarjung Enclave
77.174021,28.563286,Krishna Nagar Safdarjung Enclave New Delhi Delhi 110029 India,South West Delhi,Touching /Groping,Physical Abuse,Safdarjung Enclave
77.174039,28.563286,"Krishna Nagar, Safdarjung Enclave, New Delhi, Delhi 110016, India",South West Delhi,Commenting,Verbal Abuse,Hauz Khas
77.174055,28.5633432,*,South West Delhi,Commenting,Verbal Abuse,Dwarka
77.174482,28.563416,"Shankar Vihar, New Delhi, Delhi 110057, India",Central Delhi,Touching /Groping,Physical Abuse,Karol Bagh
77.1744823,28.5634581,"Okhla Village, Okhla, New Delhi, Delhi, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Okhla
77.174892,28.5636157,"Okhla Main Market Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.1749374,28.5636157,"Okhla Main Market Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.17511,28.5636157,"Okhla Main Market Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Sexual Invites,Verbal Abuse,Okhla
77.175117,28.5636157,"Okhla Main Market Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Chain Snatching,Physical Abuse,Okhla
77.175245,28.5636157,"Okhla Main Market Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Okhla
77.175483,28.5636157,"Okhla Main Market Road, Okhla Village, Okhla, New Delhi, Delhi 110025, India",South Delhi,Touching /Groping,Physical Abuse,Okhla
77.1756757,28.5637482,"Old Double Story, Lajpat nagar- IV",South Delhi,Catcalls/Whistles,Verbal Abuse,Lajpat Nagar
77.17575,28.5639143,"Sector 22 Dwarka, Shahabad Mohammadpur, New Delhi, Delhi, India",South West Delhi,Others,Others,Dwarka
77.175793,28.564012,"Moolchand, Lala Lajpat Rai Marg, Vikram Vihar, Lajpat Nagar IV, Lajpat Nagar, New Delhi, Delhi 110048, India",South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.175834,28.5640182,*,South West Delhi,Touching /Groping,Physical Abuse,Safdarjung Enclave
77.176036,28.564037,"Central School, Andrews Ganj, New Delhi, Delhi 110049",South Delhi,Commenting,Verbal Abuse,Andrews Ganj
77.176152,28.564149,Moolchand Lala Lajpat Rai Marg Vikram Vihar Lajpat Nagar IV Lajpat Nagar New Delhi Delhi 110048 India,South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.1761954,28.564168,"Moolchand Metro Station, Lala Lajpat Rai Marg, Lajpat Nagar IV, Lajpat Nagar, New Delhi, Delhi 110048, India",South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.176294,28.564286,*,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Lajpat Nagar
77.1765239,28.564361,"B4 Block, Safdarjung Enclave, New Delhi, Delhi 110016, India",South West Delhi,Commenting,Verbal Abuse,Safdarjung Enclave
77.176734,28.564727,"Southex, South Extension II, New Delhi, Delhi 110049, India",South Delhi,Commenting,Verbal Abuse,South Extension
77.1767435,28.564727,"Southex, South Extension II, New Delhi, Delhi 110049, India",South Delhi,Others,Others,South Extension
77.176744,28.564809,"Mehram Nagar, New Delhi, Delhi, India",Central Delhi,Commenting,Verbal Abuse,Karol Bagh
77.1769143,28.56481,"Gupta Market, Lajpat Nagar IV, Lajpat Nagar, New Delhi, Delhi 110048",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Lajpat Nagar
77.177274,28.5648475,"Batla House, Okhla Road, Batla House, Okhla, New Delhi, Delhi 110025, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.177298,28.5648475,"Batla House, Okhla Road, Batla House, Okhla, New Delhi, Delhi 110025, India",South Delhi,Chain Snatching,Physical Abuse,Okhla
77.1773328,28.564876,"Lala Lajpat Rai Marg, Lajpat Nagar IV, Lajpat Nagar, New Delhi, Delhi 110024, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Lajpat Nagar
77.177381,28.5649034,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,Lajpat Nagar
77.1774,28.565115,Block H Lajpat Nagar III Lajpat Nagar New Delhi Delhi 110024 India,South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Lajpat Nagar
77.177633,28.5653006,"Canal Colony, Okhla, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.177945,28.5653006,"Canal Colony, Okhla, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.1779576,28.5653006,"Canal Colony, Okhla, New Delhi, Delhi, India",South Delhi,Sexual Invites,Verbal Abuse,Okhla
77.1779925,28.5653006,"Canal Colony, Okhla, New Delhi, Delhi, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Okhla
77.177993,28.5653006,"Canal Colony, Okhla, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,Okhla
77.178082,28.565336,"Block H, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Lajpat Nagar
77.178151,28.565402,"Safdarjung Enclave, New Delhi, Delhi, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,Safdarjung Enclave
77.178197,28.565537,"43/57, August Kranti Marg, Andrews Ganj, New Delhi, Delhi 110049, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Andrews Ganj
77.1782395,28.565618,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Lajpat Nagar
77.178352,28.565618,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.178666,28.565618,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Chain Snatching,Physical Abuse,Lajpat Nagar
77.178801,28.565618,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Indecent exposure,Non-Verbal Abuse,Lajpat Nagar
77.178983,28.565618,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Others,Others,Lajpat Nagar
77.179282,28.565618,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Taking pictures without permission,Non-Verbal Abuse,Lajpat Nagar
77.179557,28.565618,"Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,Lajpat Nagar
77.179705,28.565622,*,South West Delhi,Catcalls/Whistles,Verbal Abuse,Dwarka
77.180176,28.565622,*,South West Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Dwarka
77.180329,28.565622,*,South West Delhi,Taking pictures without permission,Non-Verbal Abuse,Dwarka
77.180486,28.5658898,"Ansari Nagar East, Gautam Nagar, Ansari Nagar East, New Delhi, Delhi 110029, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,AIIMS
77.180647,28.5660075,*,South West Delhi,Commenting,Verbal Abuse,Rk Puram
77.180649,28.566008,*,South West Delhi,Commenting,Verbal Abuse,RK Puram
77.1806742,28.566107,Shankar Vihar New Delhi Delhi India,Central Delhi,Touching /Groping,Physical Abuse,Karol Bagh
77.180747,28.566107,"Shankar Vihar, New Delhi, Delhi, India",South West Delhi,Touching /Groping,Physical Abuse,Shankar Vihar
77.180858,28.5663836,*,South Delhi,Catcalls/Whistles,Verbal Abuse,New Friends Colony
77.181227,28.566603,"South Extension II, New Delhi, Delhi, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,South Extension
77.18125,28.566646,"All India Institute of Medical Sciences, Ansari Nagar East, AIIMS Campus, Gautam Nagar, New Delhi, Delhi 110029, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,AIIMS
77.181474,28.566646,"All India Institute of Medical Sciences, Ansari Nagar East, AIIMS Campus, Gautam Nagar, New Delhi, Delhi 110029, India",South West Delhi,Commenting,Verbal Abuse,AIIMS
77.181543,28.566656,"Mohan Singh Market, Sector 6, RamaKrishna Puram, New Delhi, Delhi 110022",South West Delhi,Commenting,Verbal Abuse,RK Puram
77.181559,28.5668809,"Moolchand Flyover, Block M, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi, India",South Delhi,Petty Robbery,Physical Abuse,Lajpat Nagar
77.181599,28.567353,"Joga Bai Extension, Okhla, New Delhi, Delhi 110025, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.181686,28.5673621,"Bharat Nagar, CV Raman Marg, New Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India",South Delhi,Catcalls/Whistles,Verbal Abuse,New Friends Colony
77.18191,28.567428,"Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Lajpat Nagar
77.182052,28.567428,"Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India",South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.182078,28.567428,"Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India",South Delhi,Taking pictures without permission,Non-Verbal Abuse,Lajpat Nagar
77.182305,28.5674621,"New Friends Colony, New Delhi, Delhi, India",South Delhi,Touching /Groping,Physical Abuse,New Friends Colony
77.182364,28.567638,"AIIMS Metro Station, Sri Aurobindo Marg, AIIMS Campus, Ansari Nagar East, New Delhi, Delhi 110029, India",South West Delhi,Catcalls/Whistles,Verbal Abuse,AIIMS
77.183715,28.567638,"AIIMS Metro Station, Sri Aurobindo Marg, AIIMS Campus, Ansari Nagar East, New Delhi, Delhi 110029, India",South West Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,AIIMS
77.183879,28.567695,*,South Delhi,Commenting,Verbal Abuse,Lajpat Nagar
77.183952,28.567695,*,South Delhi,Touching /Groping,Physical Abuse,Lajpat Nagar
77.1844619,28.567695,F 11 Block I Lajpat Nagar III Lajpat Nagar New Delhi Delhi 110024 India,South Delhi,Indecent Exposure/Masturbation in public,Non-Verbal Abuse,Lajpat Nagar
77.184552,28.567696,"Block L, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Lajpat Nagar
77.1846864,28.5677103,"F 11, Block I, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024, India",South Delhi,Indecent exposure,Non-Verbal Abuse,Lajpat Nagar
77.1848254,28.56792,"Dwarka Sector 8 Metro Station, Sector 21, Dwarka, New Delhi, Delhi 110075",South West Delhi,Commenting,Verbal Abuse,Dwarka
77.18529,28.567959,dwarka more bus stop nazafgarh new delhi,Central Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Karol Bagh
77.185443,28.5680675,"Ansari Nagar East, near to AIIMS Metro Station, Safdarjung Campus, Ansari Nagar West, New Delhi, Delhi 110029, India",South West Delhi,Touching /Groping,Physical Abuse,AIIMS
77.185456,28.5681205,"CV Raman Marg, New Friends Colony East, New Friends Colony, New Delhi, Delhi 110065, India",South Delhi,Catcalls/Whistles,Verbal Abuse,New Friends Colony
77.18577,28.568634,"Nehru Nagar, Block G, Sri Niwaspuri, New Delhi, Delhi 110048",South Delhi,Commenting,Verbal Abuse,Sri Niwaspuri
77.185899,28.568641,"DIET Centre, Sector 7 R K Puram, Sector 7, RamaKrishna Puram, New Delhi, Delhi 110022, India",Central Delhi,Touching /Groping,Physical Abuse,Karol Bagh
77.1859,28.5686902,"Block C, Defence Colony, New Delhi, Delhi, India",South Delhi,Ogling/Lewd Facial Expressions/Staring,Non-Verbal Abuse,Defence Colony
77.186143,28.5687238,"South Extension, South Extension Market Part I, Block G, South Extension I, New Delhi, Delhi 110049, India",South Delhi,Commenting,Verbal Abuse,South Extension
77.18622,28.568814,"South Extension, Mahatma Gandhi Marg,  Delhi",South Delhi,Sexual Invites,Verbal Abuse,South Extension
77.187083,28.568814,"South Extension, South Extension Market Part I, Block G, South Extension I, New Delhi, Delhi 110049, India",South Delhi,Catcalls/Whistles,Verbal Abuse,South Extension
77.187166,28.568814,"South Extension, South Extension Market Part I, Block G, South Extension I, New Delhi, Delhi 110049, India",South Delhi,Commenting,Verbal Abuse,South Extension
77.187337,28.568814,"South Extension, South Extension Market Part I, Block G, South Extension I, New Delhi, Delhi 110049, India",South Delhi,Taking pictures without permission,Non-Verbal Abuse,South Extension
77.187679,28.5691957,"Batla House, Okhla, New Delhi, Delhi 110025, India",South Delhi,Catcalls/Whistles,Verbal Abuse,Okhla
77.1880559,28.5691957,"Batla House, Okhla, New Delhi, Delhi 110025, India",South Delhi,Commenting,Verbal Abuse,Okhla
77.1882356,28.5691957,"Batla House, Okhla, New Delhi, Delhi 110025, India",South Delhi,Chain Snatching,Physical Abuse,Okhla
77.1884153,28.5691957,"Batla House, Okhla, New Delhi, Delhi 110025, India",South Delhi,Taking pictures without permission,Non-Verbal Abuse,Okhla
77.188505,28.5691957,"Batla House, Okhla, New Delhi, Delhi 110025, India",South Delhi,Touching /Groping,Physical Abuse,Okhla
77.188542,28.56922,"Moolchand, Lajpat Nagar III, Lajpat Nagar, New Delhi, Delhi 110024",South Delhi,Catcalls/Whistles,Verbal Abuse,Lajpat Nagar
